"","aggregationMode","seasonYear","season","uStar","16%","50%","84%"
"1","single",NA,NA,0.308237,0.271619922222222,0.30181125,0.333477686666667
"2","year",2016,NA,0.289598333333333,0.27923428,0.34899725,0.403621789
"3","year",2017,NA,0.308237,0.237994006666667,0.26540715625,0.309273525952381
"4","year",2018,NA,0.2798639,0.232598604,0.28460175,0.391839142666667
"5","year",2019,NA,0.3729848,0.23947557,0.313098285714286,0.380604824
"6","year",2020,NA,0.515417875,0.31869822,0.420148785714286,0.5136306
"7","year",2021,NA,0.243770333333333,0.198028594666667,0.224099541666667,0.277919053333333
"8","year",2022,NA,0.2019755,0.212174994285714,0.269143011904762,0.397483242666667
"9","year",2023,NA,0.387367,0.248438162666667,0.313781314285714,0.388380056666667
"10","year",2024,NA,0.338790666666667,0.271354622222222,0.354164805555556,0.453003174666667
"11","season",2016,"2016001",0.289598333333333,0.274796203333333,0.34899725,0.403621789
"12","season",2016,"2016003",0.18615,0.127829872,0.159747166666667,0.22207176
"13","season",2016,"2016006",0.1459352,0.0962716576,0.14285485,0.175448216
"14","season",2016,"2016009",0.0964504,0.1206316,0.17555253125,0.237993851428571
"15","season",2017,"2016012",0.15455625,0.13781777,0.166559520833333,0.206914395
"16","season",2017,"2017003",0.268617166666667,0.204692966666667,0.250888517857143,0.272840966666667
"17","season",2017,"2017006",0.308237,0.143306928,0.2039886,0.244449894857143
"18","season",2017,"2017009",0.09794711875,0.11039696675,0.155033332386364,0.250091048888889
"19","season",2018,"2017012",0.221349833333333,0.205721173333333,0.237884916666667,0.313550986666667
"20","season",2018,"2018003",0.2262054,0.207866764,0.241308475,0.343370034
"21","season",2018,"2018006",0.2798639,0.160904897333333,0.213104,0.277561544
"22","season",2018,"2018009",0.158025357142857,0.13137258,0.158110821428571,0.208411307857143
"23","season",2019,"2018012",0.3729848,0.23808,0.313098285714286,0.391063066666667
"24","season",2019,"2019003",0.3729848,0.1726895,0.290514083333333,0.368904624
"25","season",2019,"2019006",0.1463284,0.11006164,0.146537771428571,0.195843811666667
"26","season",2019,"2019009",0.243779714285714,0.178443106666667,0.231444785714286,0.288728721742424
"27","season",2020,"2019012",0.515417875,0.276447615,0.376263834821429,0.49770998
"28","season",2020,"2020003",0.408191,0.233440553333333,0.312460395833333,0.44575262
"29","season",2020,"2020006",0.10155334,0.0969265832,0.13979525,0.171404568
"30","season",2020,"2020009",0.144306916666667,0.107923086285714,0.135926422619048,0.175478626666667
"31","season",2021,"2020012",0.162120333333333,0.162055266666667,0.203055625,0.279678457777778
"32","season",2021,"2021003",0.243770333333333,0.17782423047619,0.20111175,0.243550113333333
"33","season",2021,"2021006",0.2060264,0.145771618,0.1878822,0.2082674
"34","season",2021,"2021009",0.190145642857143,0.12373868,0.147109363095238,0.183791473214286
"35","season",2022,"2021012",0.2019755,0.204126262857143,0.262204799107143,0.389318622222222
"36","season",2022,"2022003",0.2019755,0.196838774285714,0.243199214285714,0.336512187857143
"37","season",2022,"2022006",0.1544532,0.122016378666667,0.147289471428571,0.173165866
"38","season",2022,"2022009",0.1358335,0.132541865,0.1814739375,0.248751462222222
"39","season",2023,"2022012",0.387367,0.177800086666667,0.25494096875,0.363586328666667
"40","season",2023,"2023003",0.217505166666667,0.203933005714286,0.246050333333333,0.353742533333333
"41","season",2023,"2023006",0.2065496,0.159635842666667,0.21218565,0.272498861333333
"42","season",2023,"2023009",0.0951309,0.0990012902857143,0.12813209375,0.2393191375
"43","season",2024,"2023012",0.288081222222222,0.247332576444444,0.342232002777778,0.439455048888889
"44","season",2024,"2024003",0.118585833333333,0.1274910715,0.1856169,0.288316866666667
"45","season",2024,"2024006",0.1852552,0.123709807428571,0.1608217,0.218704536
"46","season",2024,"2024009",0.226001,0.15912681,0.210113159722222,0.270512933333333
"47","season",2024,"2024012",0.338790666666667,0.213221633333333,0.29667955,0.390729228666667
