"","aggregationMode","seasonYear","season","uStar","16%","50%","84%"
"1","single",NA,NA,0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"2","year",2005,NA,0.258908,0.171824053333333,0.255677269444444,0.340299721904762
"3","year",2006,NA,0.253715777777778,0.233068896777778,0.311164777777778,0.432840385769231
"4","year",2007,NA,0.46423075,0.35435732,0.4162435625,0.476732401666667
"5","year",2008,NA,0.491454777777778,0.301573664316239,0.398011457070707,0.471125555897436
"6","year",2009,NA,0.274052375,0.239449925,0.314503611111111,0.376761885
"7","year",2010,NA,0.223325,0.222954285333333,0.276209607142857,0.359785165
"8","year",2011,NA,0.365582875,0.24141648,0.3481631125,0.455745275064935
"9","year",2012,NA,0.231217571428571,0.194706762,0.248238377777778,0.39310798
"10","year",2013,NA,0.328177714285714,0.217912837714286,0.288820023809524,0.3500753
"11","year",2014,NA,0.13613775,0.126449993928571,0.16202953125,0.19482665
"12","year",2015,NA,0.385732142857143,0.294645672380952,0.343049407142857,0.419842633333333
"13","year",2016,NA,0.364433142857143,0.254743390363636,0.324013151785714,0.377484970909091
"14","year",2017,NA,0.350302,0.210126848,0.283412947916667,0.350446044444444
"15","year",2018,NA,0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"16","year",2019,NA,0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"17","season",2005,"2005001",0.258908,0.171824053333333,0.255677269444444,0.340299721904762
"18","season",2005,"2005003",0.258908,0.171824053333333,0.255677269444444,0.340299721904762
"19","season",2005,"2005006",0.258908,0.171824053333333,0.255677269444444,0.340299721904762
"20","season",2005,"2005009",0.258908,0.171824053333333,0.255677269444444,0.340299721904762
"21","season",2006,"2005012",0.253715777777778,0.221517880909091,0.28221161489899,0.387735906909091
"22","season",2006,"2006003",0.253715777777778,0.233068896777778,0.311164777777778,0.432840385769231
"23","season",2006,"2006006",0.253715777777778,0.233068896777778,0.311164777777778,0.432840385769231
"24","season",2006,"2006009",0.253715777777778,0.233068896777778,0.311164777777778,0.432840385769231
"25","season",2007,"2006012",0.46423075,0.354639333333333,0.424291625,0.499567078
"26","season",2007,"2007003",0.46423075,0.35435732,0.4162435625,0.476732401666667
"27","season",2007,"2007006",0.46423075,0.35435732,0.4162435625,0.476732401666667
"28","season",2007,"2007009",0.46423075,0.35435732,0.4162435625,0.476732401666667
"29","season",2008,"2007012",0.491454777777778,0.326812181,0.407697746153846,0.479486994444444
"30","season",2008,"2008003",0.491454777777778,0.301573664316239,0.398011457070707,0.471125555897436
"31","season",2008,"2008006",0.491454777777778,0.301573664316239,0.398011457070707,0.471125555897436
"32","season",2008,"2008009",0.491454777777778,0.301573664316239,0.398011457070707,0.471125555897436
"33","season",2009,"2008012",0.274052375,0.2381197325,0.316490277777778,0.404283731188811
"34","season",2009,"2009003",0.274052375,0.239449925,0.314503611111111,0.376761885
"35","season",2009,"2009006",0.274052375,0.239449925,0.314503611111111,0.376761885
"36","season",2009,"2009009",0.274052375,0.239449925,0.314503611111111,0.376761885
"37","season",2010,"2009012",0.223325,0.219677752857143,0.265599477777778,0.342607355
"38","season",2010,"2010003",0.223325,0.222954285333333,0.276209607142857,0.359785165
"39","season",2010,"2010006",0.223325,0.222954285333333,0.276209607142857,0.359785165
"40","season",2010,"2010009",0.223325,0.222954285333333,0.276209607142857,0.359785165
"41","season",2011,"2010012",0.365582875,0.240276401,0.329584490277778,0.42055502
"42","season",2011,"2011003",0.365582875,0.24141648,0.3481631125,0.455745275064935
"43","season",2011,"2011006",0.365582875,0.24141648,0.3481631125,0.455745275064935
"44","season",2011,"2011009",0.365582875,0.24141648,0.3481631125,0.455745275064935
"45","season",2012,"2011012",0.231217571428571,0.203610245555556,0.270852912698413,0.431637287272727
"46","season",2012,"2012003",0.231217571428571,0.194706762,0.248238377777778,0.39310798
"47","season",2012,"2012006",0.231217571428571,0.194706762,0.248238377777778,0.39310798
"48","season",2012,"2012009",0.231217571428571,0.194706762,0.248238377777778,0.39310798
"49","season",2013,"2012012",0.328177714285714,0.202265889166667,0.267463863636364,0.355078867936508
"50","season",2013,"2013003",0.328177714285714,0.217912837714286,0.288820023809524,0.3500753
"51","season",2013,"2013006",0.328177714285714,0.217912837714286,0.288820023809524,0.3500753
"52","season",2013,"2013009",0.328177714285714,0.217912837714286,0.288820023809524,0.3500753
"53","season",2014,"2013012",0.13613775,0.128979987142857,0.16202953125,0.252052953333333
